,Lat,Lon,coords,Day,Weekday,Hour,Minute,hot_z
18,40.7531,-74.0039,"40.7531, -74.0039",1,Tuesday,3,35,Yes
24,40.695,-74.1783,"40.695, -74.1783",1,Tuesday,4,20,Yes
26,40.6879,-74.1814,"40.6879, -74.1814",1,Tuesday,4,27,Yes
27,40.6878,-74.1816,"40.6878, -74.1816",1,Tuesday,4,38,Yes
39,40.7217,-73.9875,"40.7217, -73.9875",1,Tuesday,5,36,Yes
56,40.7236,-74.0111,"40.7236, -74.0111",1,Tuesday,6,2,Yes
70,40.7531,-74.0039,"40.7531, -74.0039",1,Tuesday,6,21,Yes
94,40.7255,-74.0092,"40.7255, -74.0092",1,Tuesday,6,52,Yes
105,40.771,-73.866,"40.771, -73.866",1,Tuesday,7,2,Yes
163,40.7343,-73.9936,"40.7343, -73.9936",1,Tuesday,8,2,Yes
198,40.7261,-73.9918,"40.7261, -73.9918",1,Tuesday,8,43,Yes
207,40.7388,-74.0087,"40.7388, -74.0087",1,Tuesday,8,54,Yes
211,40.7739,-73.8717,"40.7739, -73.8717",1,Tuesday,8,58,Yes
222,40.7752,-73.9635,"40.7752, -73.9635",1,Tuesday,9,16,Yes
223,40.7788,-73.956,"40.7788, -73.956",1,Tuesday,9,23,Yes
235,40.7752,-73.9636,"40.7752, -73.9636",1,Tuesday,9,46,Yes
236,40.7283,-74.0071,"40.7283, -74.0071",1,Tuesday,9,48,Yes
239,40.7747,-73.9911,"40.7747, -73.9911",1,Tuesday,9,52,Yes
246,40.745,-73.9888,"40.745, -73.9888",1,Tuesday,9,58,Yes
249,40.7741,-73.8726,"40.7741, -73.8726",1,Tuesday,10,4,Yes
250,40.7367,-73.9907,"40.7367, -73.9907",1,Tuesday,10,5,Yes
257,40.7745,-73.9638,"40.7745, -73.9638",1,Tuesday,10,18,Yes
262,40.6948,-74.1779,"40.6948, -74.1779",1,Tuesday,10,27,Yes
264,40.6949,-74.1781,"40.6949, -74.1781",1,Tuesday,10,32,Yes
265,40.6949,-74.1781,"40.6949, -74.1781",1,Tuesday,10,32,Yes
272,40.7748,-73.991,"40.7748, -73.991",1,Tuesday,10,34,Yes
280,40.7233,-74.0062,"40.7233, -74.0062",1,Tuesday,10,46,Yes
302,40.7103,-73.9846,"40.7103, -73.9846",1,Tuesday,11,11,Yes
324,40.7419,-74.0036,"40.7419, -74.0036",1,Tuesday,11,35,Yes
330,40.7741,-73.8726,"40.7741, -73.8726",1,Tuesday,11,42,Yes
338,40.7685,-73.8625,"40.7685, -73.8625",1,Tuesday,11,48,Yes
346,40.6878,-74.1817,"40.6878, -74.1817",1,Tuesday,12,4,Yes
361,40.7732,-73.8857,"40.7732, -73.8857",1,Tuesday,12,24,Yes
363,40.695,-74.178,"40.695, -74.178",1,Tuesday,12,26,Yes
371,40.7447,-73.9873,"40.7447, -73.9873",1,Tuesday,12,32,Yes
386,40.771,-73.866,"40.771, -73.866",1,Tuesday,12,54,Yes
393,40.7684,-73.8624,"40.7684, -73.8624",1,Tuesday,13,1,Yes
409,40.7529,-73.9855,"40.7529, -73.9855",1,Tuesday,13,18,Yes
421,40.7692,-73.9829,"40.7692, -73.9829",1,Tuesday,13,34,Yes
432,40.7741,-73.8727,"40.7741, -73.8727",1,Tuesday,13,45,Yes
433,40.7385,-73.9854,"40.7385, -73.9854",1,Tuesday,13,47,Yes
434,40.7685,-73.8624,"40.7685, -73.8624",1,Tuesday,13,49,Yes
444,40.774,-73.8728,"40.774, -73.8728",1,Tuesday,13,57,Yes
449,40.7739,-73.8724,"40.7739, -73.8724",1,Tuesday,14,3,Yes
452,40.7732,-73.8856,"40.7732, -73.8856",1,Tuesday,14,5,Yes
465,40.7691,-73.9812,"40.7691, -73.9812",1,Tuesday,14,21,Yes
475,40.645,-73.7819,"40.645, -73.7819",1,Tuesday,14,29,Yes
481,40.6448,-73.7826,"40.6448, -73.7826",1,Tuesday,14,39,Yes
484,40.7104,-73.9847,"40.7104, -73.9847",1,Tuesday,14,41,Yes
486,40.7103,-73.9846,"40.7103, -73.9846",1,Tuesday,14,43,Yes
489,40.7647,-73.9706,"40.7647, -73.9706",1,Tuesday,14,45,Yes
491,40.6951,-74.1787,"40.6951, -74.1787",1,Tuesday,14,53,Yes
498,40.7284,-74.0071,"40.7284, -74.0071",1,Tuesday,15,2,Yes
504,40.7741,-73.8727,"40.7741, -73.8727",1,Tuesday,15,8,Yes
507,40.771,-73.866,"40.771, -73.866",1,Tuesday,15,10,Yes
514,40.7708,-73.8658,"40.7708, -73.8658",1,Tuesday,15,19,Yes
523,40.7624,-73.9744,"40.7624, -73.9744",1,Tuesday,15,24,Yes
528,40.7636,-73.9735,"40.7636, -73.9735",1,Tuesday,15,31,Yes
536,40.7739,-73.8715,"40.7739, -73.8715",1,Tuesday,15,40,Yes
538,40.6951,-74.1783,"40.6951, -74.1783",1,Tuesday,15,41,Yes
543,40.7556,-73.9753,"40.7556, -73.9753",1,Tuesday,15,48,Yes
549,40.6449,-73.7823,"40.6449, -73.7823",1,Tuesday,15,54,Yes
596,40.6916,-73.9844,"40.6916, -73.9844",1,Tuesday,16,29,Yes
601,40.7245,-73.9987,"40.7245, -73.9987",1,Tuesday,16,32,Yes
612,40.7741,-73.8725,"40.7741, -73.8725",1,Tuesday,16,41,Yes
619,40.7685,-73.8624,"40.7685, -73.8624",1,Tuesday,16,47,Yes
628,40.7706,-73.8655,"40.7706, -73.8655",1,Tuesday,16,56,Yes
632,40.646,-73.7768,"40.646, -73.7768",1,Tuesday,16,59,Yes
659,40.7256,-74.0054,"40.7256, -74.0054",1,Tuesday,17,14,Yes
661,40.7539,-73.9806,"40.7539, -73.9806",1,Tuesday,17,16,Yes
667,40.7685,-73.8625,"40.7685, -73.8625",1,Tuesday,17,19,Yes
705,40.7169,-74.0123,"40.7169, -74.0123",1,Tuesday,17,52,Yes
722,40.7732,-73.8857,"40.7732, -73.8857",1,Tuesday,18,3,Yes
734,40.7219,-74.0041,"40.7219, -74.0041",1,Tuesday,18,16,Yes
749,40.6449,-73.7822,"40.6449, -73.7822",1,Tuesday,18,31,Yes
764,40.7284,-74.0071,"40.7284, -74.0071",1,Tuesday,18,43,Yes
787,40.743,-74.0076,"40.743, -74.0076",1,Tuesday,19,2,Yes
795,40.7065,-74.0094,"40.7065, -74.0094",1,Tuesday,19,6,Yes
812,40.7368,-73.9888,"40.7368, -73.9888",1,Tuesday,19,21,Yes
827,40.7104,-73.9847,"40.7104, -73.9847",1,Tuesday,19,35,Yes
830,40.7218,-74.0042,"40.7218, -74.0042",1,Tuesday,19,41,Yes
840,40.7371,-74.0021,"40.7371, -74.0021",1,Tuesday,19,50,Yes
846,40.6436,-73.7899,"40.6436, -73.7899",1,Tuesday,19,53,Yes
847,40.7295,-73.987,"40.7295, -73.987",1,Tuesday,19,54,Yes
854,40.7236,-74.0027,"40.7236, -74.0027",1,Tuesday,19,58,Yes
862,40.7685,-73.8626,"40.7685, -73.8626",1,Tuesday,20,6,Yes
863,40.7685,-73.8626,"40.7685, -73.8626",1,Tuesday,20,6,Yes
865,40.6449,-73.7822,"40.6449, -73.7822",1,Tuesday,20,9,Yes
870,40.7103,-73.9847,"40.7103, -73.9847",1,Tuesday,20,12,Yes
923,40.7419,-74.0038,"40.7419, -74.0038",1,Tuesday,21,23,Yes
932,40.7708,-73.8658,"40.7708, -73.8658",1,Tuesday,21,31,Yes
936,40.774,-73.8719,"40.774, -73.8719",1,Tuesday,21,33,Yes
954,40.6464,-73.7901,"40.6464, -73.7901",1,Tuesday,21,50,Yes
959,40.7593,-73.9809,"40.7593, -73.9809",1,Tuesday,21,57,Yes
967,40.7313,-73.9886,"40.7313, -73.9886",1,Tuesday,22,6,Yes
970,40.7404,-74.0079,"40.7404, -74.0079",1,Tuesday,22,8,Yes
978,40.7627,-73.9713,"40.7627, -73.9713",1,Tuesday,22,17,Yes
979,40.7432,-74.0075,"40.7432, -74.0075",1,Tuesday,22,21,Yes
983,40.7406,-74.0057,"40.7406, -74.0057",1,Tuesday,22,35,Yes
984,40.7384,-73.9855,"40.7384, -73.9855",1,Tuesday,22,35,Yes
1020,40.7218,-73.958,"40.7218, -73.958",2,Wednesday,1,4,Yes
1028,40.7402,-74.0059,"40.7402, -74.0059",2,Wednesday,3,33,Yes
1030,40.6461,-73.7769,"40.6461, -73.7769",2,Wednesday,3,49,Yes
1035,40.6948,-74.1779,"40.6948, -74.1779",2,Wednesday,4,26,Yes
1044,40.645,-73.7818,"40.645, -73.7818",2,Wednesday,5,12,Yes
1074,40.771,-73.8659,"40.771, -73.8659",2,Wednesday,6,8,Yes
1077,40.7236,-74.0109,"40.7236, -74.0109",2,Wednesday,6,11,Yes
1086,40.7196,-73.9995,"40.7196, -73.9995",2,Wednesday,6,24,Yes
1122,40.7747,-73.9911,"40.7747, -73.9911",2,Wednesday,6,56,Yes
1152,40.7772,-73.9753,"40.7772, -73.9753",2,Wednesday,7,19,Yes
1227,40.7739,-73.8727,"40.7739, -73.8727",2,Wednesday,8,18,Yes
1249,40.7406,-74.0078,"40.7406, -74.0078",2,Wednesday,8,35,Yes
1250,40.7406,-74.0078,"40.7406, -74.0078",2,Wednesday,8,35,Yes
1263,40.7235,-74.0107,"40.7235, -74.0107",2,Wednesday,8,46,Yes
1270,40.7519,-73.9937,"40.7519, -73.9937",2,Wednesday,8,53,Yes
1274,40.7742,-73.9632,"40.7742, -73.9632",2,Wednesday,8,56,Yes
1278,40.7505,-73.9946,"40.7505, -73.9946",2,Wednesday,9,0,Yes
1280,40.7507,-74.0034,"40.7507, -74.0034",2,Wednesday,9,4,Yes
1293,40.7752,-73.9635,"40.7752, -73.9635",2,Wednesday,9,15,Yes
1294,40.7518,-73.9937,"40.7518, -73.9937",2,Wednesday,9,23,Yes
1295,40.7518,-73.9937,"40.7518, -73.9937",2,Wednesday,9,23,Yes
1306,40.7246,-73.9916,"40.7246, -73.9916",2,Wednesday,9,37,Yes
1311,40.7648,-73.9705,"40.7648, -73.9705",2,Wednesday,9,39,Yes
1319,40.7685,-73.8625,"40.7685, -73.8625",2,Wednesday,9,52,Yes
1323,40.7751,-73.9634,"40.7751, -73.9634",2,Wednesday,9,56,Yes
1333,40.7419,-74.0036,"40.7419, -74.0036",2,Wednesday,10,3,Yes
1343,40.7228,-73.9983,"40.7228, -73.9983",2,Wednesday,10,10,Yes
1365,40.7267,-73.9957,"40.7267, -73.9957",2,Wednesday,10,35,Yes
1379,40.751999999999995,-73.9936,"40.751999999999995, -73.9936",2,Wednesday,10,53,Yes
1386,40.7228,-74.0047,"40.7228, -74.0047",2,Wednesday,11,1,Yes
1387,40.7732,-73.8856,"40.7732, -73.8856",2,Wednesday,11,2,Yes
1388,40.7732,-73.8856,"40.7732, -73.8856",2,Wednesday,11,2,Yes
1422,40.7325,-73.9969,"40.7325, -73.9969",2,Wednesday,11,47,Yes
1441,40.7249,-74.0078,"40.7249, -74.0078",2,Wednesday,12,8,Yes
1445,40.7741,-73.8726,"40.7741, -73.8726",2,Wednesday,12,15,Yes
1450,40.7739,-73.8727,"40.7739, -73.8727",2,Wednesday,12,26,Yes
1496,40.7747,-73.9633,"40.7747, -73.9633",2,Wednesday,13,13,Yes
1498,40.7741,-73.8726,"40.7741, -73.8726",2,Wednesday,13,18,Yes
1501,40.7617,-73.9749,"40.7617, -73.9749",2,Wednesday,13,21,Yes
1528,40.7748,-73.991,"40.7748, -73.991",2,Wednesday,13,47,Yes
1550,40.6449,-73.7822,"40.6449, -73.7822",2,Wednesday,14,7,Yes
1558,40.7627,-73.9821,"40.7627, -73.9821",2,Wednesday,14,13,Yes
1563,40.7565,-73.9724,"40.7565, -73.9724",2,Wednesday,14,20,Yes
1571,40.6465,-73.7899,"40.6465, -73.7899",2,Wednesday,14,24,Yes
1587,40.6449,-73.782,"40.6449, -73.782",2,Wednesday,14,37,Yes
1592,40.726,-73.9918,"40.726, -73.9918",2,Wednesday,14,41,Yes
1595,40.6449,-73.782,"40.6449, -73.782",2,Wednesday,14,45,Yes
1609,40.7103,-73.9846,"40.7103, -73.9846",2,Wednesday,14,51,Yes
1611,40.7507,-74.0034,"40.7507, -74.0034",2,Wednesday,14,52,Yes
1612,40.7282,-74.0072,"40.7282, -74.0072",2,Wednesday,14,52,Yes
1614,40.7403,-73.9947,"40.7403, -73.9947",2,Wednesday,14,53,Yes
1636,40.7223,-74.0038,"40.7223, -74.0038",2,Wednesday,15,13,Yes
1642,40.7732,-73.8856,"40.7732, -73.8856",2,Wednesday,15,15,Yes
1643,40.7732,-73.8856,"40.7732, -73.8856",2,Wednesday,15,15,Yes
1657,40.7249,-73.9984,"40.7249, -73.9984",2,Wednesday,15,25,Yes
1714,40.7636,-73.9735,"40.7636, -73.9735",2,Wednesday,15,53,Yes
1749,40.7384,-73.9856,"40.7384, -73.9856",2,Wednesday,16,13,Yes
1751,40.7407,-74.0056,"40.7407, -74.0056",2,Wednesday,16,15,Yes
1759,40.6949,-74.1779,"40.6949, -74.1779",2,Wednesday,16,19,Yes
1771,40.7248,-73.9985,"40.7248, -73.9985",2,Wednesday,16,23,Yes
1808,40.7537,-73.9991,"40.7537, -73.9991",2,Wednesday,16,44,Yes
1824,40.7256,-74.0056,"40.7256, -74.0056",2,Wednesday,16,53,Yes
1827,40.7553,-73.9838,"40.7553, -73.9838",2,Wednesday,16,54,Yes
1852,40.7646,-73.9736,"40.7646, -73.9736",2,Wednesday,17,7,Yes
1859,40.7277,-74.0072,"40.7277, -74.0072",2,Wednesday,17,12,Yes
1881,40.7554,-73.9754,"40.7554, -73.9754",2,Wednesday,17,20,Yes
1886,40.7473,-73.9854,"40.7473, -73.9854",2,Wednesday,17,23,Yes
1896,40.7438,-74.0062,"40.7438, -74.0062",2,Wednesday,17,27,Yes
1911,40.7261,-73.9918,"40.7261, -73.9918",2,Wednesday,17,38,Yes
1913,40.7537,-73.9991,"40.7537, -73.9991",2,Wednesday,17,38,Yes
1930,40.7563,-73.9788,"40.7563, -73.9788",2,Wednesday,17,43,Yes
1933,40.7745,-73.9638,"40.7745, -73.9638",2,Wednesday,17,44,Yes
1943,40.7247,-73.9988,"40.7247, -73.9988",2,Wednesday,17,51,Yes
1957,40.7638,-73.9734,"40.7638, -73.9734",2,Wednesday,17,56,Yes
1972,40.7584,-73.973,"40.7584, -73.973",2,Wednesday,18,5,Yes
1974,40.6462,-73.7769,"40.6462, -73.7769",2,Wednesday,18,8,Yes
1982,40.7248,-73.9985,"40.7248, -73.9985",2,Wednesday,18,13,Yes
1990,40.7499,-73.9835,"40.7499, -73.9835",2,Wednesday,18,16,Yes
1999,40.7218,-74.0043,"40.7218, -74.0043",2,Wednesday,18,25,Yes
2007,40.7198,-74.0004,"40.7198, -74.0004",2,Wednesday,18,30,Yes
2009,40.7553,-73.9838,"40.7553, -73.9838",2,Wednesday,18,32,Yes
2022,40.764,-73.9705,"40.764, -73.9705",2,Wednesday,18,39,Yes
2024,40.7404,-74.0057,"40.7404, -74.0057",2,Wednesday,18,41,Yes
2027,40.7433,-74.0073,"40.7433, -74.0073",2,Wednesday,18,42,Yes
2044,40.6951,-74.1785,"40.6951, -74.1785",2,Wednesday,18,53,Yes
2056,40.7732,-73.8856,"40.7732, -73.8856",2,Wednesday,18,56,Yes
2068,40.7731,-73.8856,"40.7731, -73.8856",2,Wednesday,19,4,Yes
2091,40.7426,-74.0071,"40.7426, -74.0071",2,Wednesday,19,25,Yes
2098,40.7191,-74.0103,"40.7191, -74.0103",2,Wednesday,19,32,Yes
2108,40.743,-74.0076,"40.743, -74.0076",2,Wednesday,19,38,Yes
2109,40.743,-74.0076,"40.743, -74.0076",2,Wednesday,19,38,Yes
2133,40.7454,-73.991,"40.7454, -73.991",2,Wednesday,19,59,Yes
2137,40.7739,-73.8716,"40.7739, -73.8716",2,Wednesday,20,2,Yes
2153,40.7381,-74.0087,"40.7381, -74.0087",2,Wednesday,20,20,Yes
2175,40.7489,-73.9922,"40.7489, -73.9922",2,Wednesday,20,36,Yes
2186,40.7505,-73.9947,"40.7505, -73.9947",2,Wednesday,20,42,Yes
2211,40.7511,-73.9942,"40.7511, -73.9942",2,Wednesday,20,59,Yes
2220,40.7025,-73.9896,"40.7025, -73.9896",2,Wednesday,21,5,Yes
2221,40.7683,-73.8622,"40.7683, -73.8622",2,Wednesday,21,6,Yes
2227,40.7263,-74.009,"40.7263, -74.009",2,Wednesday,21,11,Yes
2249,40.7405,-74.0078,"40.7405, -74.0078",2,Wednesday,21,30,Yes
2280,40.7709,-73.8658,"40.7709, -73.8658",2,Wednesday,21,57,Yes
2297,40.7275,-73.994,"40.7275, -73.994",2,Wednesday,22,21,Yes
2301,40.7275,-73.9934,"40.7275, -73.9934",2,Wednesday,22,26,Yes
2309,40.742,-74.0046,"40.742, -74.0046",2,Wednesday,22,38,Yes
2310,40.7741,-73.8724,"40.7741, -73.8724",2,Wednesday,22,40,Yes
2313,40.6449,-73.7822,"40.6449, -73.7822",2,Wednesday,22,42,Yes
2335,40.7739,-73.8716,"40.7739, -73.8716",2,Wednesday,23,24,Yes
2337,40.7419,-74.0035,"40.7419, -74.0035",2,Wednesday,23,32,Yes
2346,40.722,-74.0041,"40.722, -74.0041",2,Wednesday,23,53,Yes
2356,40.7404,-74.0079,"40.7404, -74.0079",3,Thursday,0,18,Yes
2360,40.7301,-74.0004,"40.7301, -74.0004",3,Thursday,0,36,Yes
2361,40.7301,-74.0004,"40.7301, -74.0004",3,Thursday,0,36,Yes
2364,40.7443,-73.9844,"40.7443, -73.9844",3,Thursday,1,10,Yes
2378,40.742,-74.0037,"40.742, -74.0037",3,Thursday,3,37,Yes
2381,40.7747,-73.9911,"40.7747, -73.9911",3,Thursday,4,4,Yes
2391,40.7473,-73.9854,"40.7473, -73.9854",3,Thursday,5,27,Yes
2392,40.7473,-73.9854,"40.7473, -73.9854",3,Thursday,5,27,Yes
2402,40.7686,-73.8626,"40.7686, -73.8626",3,Thursday,5,59,Yes
2418,40.7233,-73.9912,"40.7233, -73.9912",3,Thursday,6,21,Yes
2453,40.7406,-74.0057,"40.7406, -74.0057",3,Thursday,6,52,Yes
2458,40.7753,-73.9904,"40.7753, -73.9904",3,Thursday,6,54,Yes
2473,40.7257,-74.0055,"40.7257, -74.0055",3,Thursday,7,11,Yes
2490,40.7741,-73.8725,"40.7741, -73.8725",3,Thursday,7,23,Yes
2538,40.7588,-73.9894,"40.7588, -73.9894",3,Thursday,8,2,Yes
2541,40.751,-73.9943,"40.751, -73.9943",3,Thursday,8,6,Yes
2546,40.7739,-73.8725,"40.7739, -73.8725",3,Thursday,8,10,Yes
2549,40.7249,-73.9807,"40.7249, -73.9807",3,Thursday,8,12,Yes
2552,40.7732,-73.8857,"40.7732, -73.8857",3,Thursday,8,18,Yes
2563,40.7438,-74.0063,"40.7438, -74.0063",3,Thursday,8,26,Yes
2564,40.7233,-73.9912,"40.7233, -73.9912",3,Thursday,8,28,Yes
2575,40.74,-74.006,"40.74, -74.006",3,Thursday,8,44,Yes
2576,40.74,-74.006,"40.74, -74.006",3,Thursday,8,44,Yes
2577,40.7498,-73.9836,"40.7498, -73.9836",3,Thursday,8,44,Yes
2594,40.7685,-73.8626,"40.7685, -73.8626",3,Thursday,8,59,Yes
2616,40.7683,-73.8623,"40.7683, -73.8623",3,Thursday,9,44,Yes
2619,40.695,-74.1782,"40.695, -74.1782",3,Thursday,9,46,Yes
2620,40.7752,-73.9636,"40.7752, -73.9636",3,Thursday,9,47,Yes
2638,40.774,-73.8726,"40.774, -73.8726",3,Thursday,10,6,Yes
2642,40.7732,-73.8855,"40.7732, -73.8855",3,Thursday,10,12,Yes
2643,40.7732,-73.8855,"40.7732, -73.8855",3,Thursday,10,12,Yes
2654,40.774,-73.8726,"40.774, -73.8726",3,Thursday,10,26,Yes
2706,40.7516,-73.9938,"40.7516, -73.9938",3,Thursday,11,32,Yes
2707,40.7642,-73.971,"40.7642, -73.971",3,Thursday,11,34,Yes
2709,40.7404,-73.9963,"40.7404, -73.9963",3,Thursday,11,36,Yes
2712,40.688,-74.1829,"40.688, -74.1829",3,Thursday,11,39,Yes
2729,40.726,-73.9918,"40.726, -73.9918",3,Thursday,12,1,Yes
2767,40.774,-73.8717,"40.774, -73.8717",3,Thursday,12,45,Yes
2784,40.6485,-73.7834,"40.6485, -73.7834",3,Thursday,13,0,Yes
2789,40.7741,-73.8726,"40.7741, -73.8726",3,Thursday,13,5,Yes
2802,40.7731,-73.8856,"40.7731, -73.8856",3,Thursday,13,21,Yes
2817,40.7191,-74.0064,"40.7191, -74.0064",3,Thursday,13,32,Yes
2837,40.7402,-74.0058,"40.7402, -74.0058",3,Thursday,13,44,Yes
2849,40.7502,-74.0024,"40.7502, -74.0024",3,Thursday,14,3,Yes
2870,40.7686,-73.8626,"40.7686, -73.8626",3,Thursday,14,21,Yes
2879,40.7565,-73.9743,"40.7565, -73.9743",3,Thursday,14,30,Yes
2888,40.7054,-74.0171,"40.7054, -74.0171",3,Thursday,14,41,Yes
2892,40.771,-73.8659,"40.771, -73.8659",3,Thursday,14,47,Yes
2893,40.688,-74.1829,"40.688, -74.1829",3,Thursday,14,47,Yes
2897,40.7501,-74.0025,"40.7501, -74.0025",3,Thursday,14,50,Yes
2901,40.7747,-73.9911,"40.7747, -73.9911",3,Thursday,14,53,Yes
2926,40.7442,-73.9842,"40.7442, -73.9842",3,Thursday,15,13,Yes
2943,40.7732,-73.8856,"40.7732, -73.8856",3,Thursday,15,21,Yes
2946,40.7581,-73.9775,"40.7581, -73.9775",3,Thursday,15,24,Yes
2958,40.7535,-73.9788,"40.7535, -73.9788",3,Thursday,15,33,Yes
2968,40.6878,-74.1821,"40.6878, -74.1821",3,Thursday,15,37,Yes
2979,40.73,-74.0083,"40.73, -74.0083",3,Thursday,15,43,Yes
2986,40.7535,-73.9788,"40.7535, -73.9788",3,Thursday,15,47,Yes
2987,40.7535,-73.9788,"40.7535, -73.9788",3,Thursday,15,47,Yes
3040,40.7678,-73.9915,"40.7678, -73.9915",3,Thursday,16,16,Yes
3063,40.7562,-73.998,"40.7562, -73.998",3,Thursday,16,30,Yes
3087,40.754,-73.9805,"40.754, -73.9805",3,Thursday,16,42,Yes
3097,40.7276,-74.0073,"40.7276, -74.0073",3,Thursday,16,46,Yes
3112,40.7554,-73.9874,"40.7554, -73.9874",3,Thursday,16,54,Yes
3137,40.7683,-73.8623,"40.7683, -73.8623",3,Thursday,17,8,Yes
3139,40.77,-73.8645,"40.77, -73.8645",3,Thursday,17,9,Yes
3148,40.7692,-73.9829,"40.7692, -73.9829",3,Thursday,17,12,Yes
3157,40.7323,-74.0077,"40.7323, -74.0077",3,Thursday,17,17,Yes
3160,40.7481,-73.9848,"40.7481, -73.9848",3,Thursday,17,18,Yes
3161,40.7481,-73.9848,"40.7481, -73.9848",3,Thursday,17,18,Yes
3186,40.7712,-73.866,"40.7712, -73.866",3,Thursday,17,34,Yes
3189,40.7641,-73.9788,"40.7641, -73.9788",3,Thursday,17,37,Yes
3194,40.7552,-73.9752,"40.7552, -73.9752",3,Thursday,17,38,Yes
3237,40.7274,-73.9921,"40.7274, -73.9921",3,Thursday,17,57,Yes
3239,40.7436,-73.9881,"40.7436, -73.9881",3,Thursday,17,58,Yes
3287,40.7617,-73.9749,"40.7617, -73.9749",3,Thursday,18,20,Yes
3289,40.7731,-73.8857,"40.7731, -73.8857",3,Thursday,18,21,Yes
3291,40.7731,-73.8855,"40.7731, -73.8855",3,Thursday,18,23,Yes
3298,40.771,-73.8659,"40.771, -73.8659",3,Thursday,18,28,Yes
3311,40.6465,-73.7898,"40.6465, -73.7898",3,Thursday,18,37,Yes
3313,40.7741,-73.8727,"40.7741, -73.8727",3,Thursday,18,37,Yes
3324,40.742,-74.0038,"40.742, -74.0038",3,Thursday,18,41,Yes
3325,40.742,-74.0038,"40.742, -74.0038",3,Thursday,18,41,Yes
3345,40.7343,-74.0027,"40.7343, -74.0027",3,Thursday,18,56,Yes
3356,40.6485,-73.7827,"40.6485, -73.7827",3,Thursday,19,5,Yes
3359,40.7732,-73.8856,"40.7732, -73.8856",3,Thursday,19,6,Yes
3366,40.7275,-73.9935,"40.7275, -73.9935",3,Thursday,19,9,Yes
3372,40.7552,-73.9838,"40.7552, -73.9838",3,Thursday,19,12,Yes
3412,40.7683,-73.8623,"40.7683, -73.8623",3,Thursday,19,36,Yes
3439,40.7591,-73.9727,"40.7591, -73.9727",3,Thursday,19,55,Yes
3440,40.6461,-73.7768,"40.6461, -73.7768",3,Thursday,19,55,Yes
3451,40.774,-73.8723,"40.774, -73.8723",3,Thursday,20,1,Yes
3459,40.7558,-73.9834,"40.7558, -73.9834",3,Thursday,20,6,Yes
3460,40.7683,-73.8622,"40.7683, -73.8622",3,Thursday,20,6,Yes
3467,40.7202,-74.0085,"40.7202, -74.0085",3,Thursday,20,9,Yes
3468,40.7559,-73.9833,"40.7559, -73.9833",3,Thursday,20,10,Yes
3474,40.7388,-74.0087,"40.7388, -74.0087",3,Thursday,20,13,Yes
3475,40.771,-73.8661,"40.771, -73.8661",3,Thursday,20,13,Yes
3479,40.7401,-74.006,"40.7401, -74.006",3,Thursday,20,14,Yes
3488,40.7745,-73.9638,"40.7745, -73.9638",3,Thursday,20,18,Yes
3509,40.7218,-74.0042,"40.7218, -74.0042",3,Thursday,20,30,Yes
3522,40.7432,-74.0075,"40.7432, -74.0075",3,Thursday,20,38,Yes
3523,40.7151,-74.016,"40.7151, -74.016",3,Thursday,20,38,Yes
3529,40.7422,-74.0045,"40.7422, -74.0045",3,Thursday,20,40,Yes
3532,40.7741,-73.8723,"40.7741, -73.8723",3,Thursday,20,42,Yes
3533,40.7502,-73.9945,"40.7502, -73.9945",3,Thursday,20,42,Yes
3547,40.760999999999996,-73.9733,"40.760999999999996, -73.9733",3,Thursday,20,48,Yes
3559,40.7246,-73.9915,"40.7246, -73.9915",3,Thursday,20,55,Yes
3568,40.6878,-74.1821,"40.6878, -74.1821",3,Thursday,21,0,Yes
3571,40.7684,-73.8623,"40.7684, -73.8623",3,Thursday,21,2,Yes
3598,40.7501,-73.9834,"40.7501, -73.9834",3,Thursday,21,17,Yes
3612,40.771,-73.866,"40.771, -73.866",3,Thursday,21,25,Yes
3616,40.748000000000005,-73.9849,"40.748000000000005, -73.9849",3,Thursday,21,27,Yes
3618,40.7191,-74.0103,"40.7191, -74.0103",3,Thursday,21,29,Yes
3657,40.7324,-74.0037,"40.7324, -74.0037",3,Thursday,21,48,Yes
3658,40.7324,-74.0037,"40.7324, -74.0037",3,Thursday,21,48,Yes
3663,40.6947,-74.1778,"40.6947, -74.1778",3,Thursday,21,49,Yes
3668,40.7716,-73.9826,"40.7716, -73.9826",3,Thursday,21,52,Yes
3692,40.7437,-73.9927,"40.7437, -73.9927",3,Thursday,22,7,Yes
3697,40.6464,-73.7897,"40.6464, -73.7897",3,Thursday,22,9,Yes
3702,40.7399,-73.995,"40.7399, -73.995",3,Thursday,22,11,Yes
3712,40.7741,-73.8726,"40.7741, -73.8726",3,Thursday,22,15,Yes
3719,40.7448,-73.9888,"40.7448, -73.9888",3,Thursday,22,19,Yes
3723,40.743,-74.0076,"40.743, -74.0076",3,Thursday,22,20,Yes
3732,40.7438,-74.0063,"40.7438, -74.0063",3,Thursday,22,26,Yes
3735,40.7208,-74.01,"40.7208, -74.01",3,Thursday,22,26,Yes
3743,40.7745,-73.9638,"40.7745, -73.9638",3,Thursday,22,30,Yes
3745,40.774,-73.8725,"40.774, -73.8725",3,Thursday,22,32,Yes
3747,40.742,-74.0038,"40.742, -74.0038",3,Thursday,22,33,Yes
3756,40.7579,-73.9893,"40.7579, -73.9893",3,Thursday,22,38,Yes
